numero_de_cliente	cantidad_votos	detalle_modelos
253925120	4	V3_1s + V3_2q + V3_3q + V3_4m
253987477	4	V3_1s + V3_2q + V3_4m + V3_4q
254102703	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
254227913	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
254663798	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
254698802	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
254735557	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
254735779	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
254944209	4	V3_1s + V3_2q + V3_3q + V3_4q
255002475	4	V3_1s + V3_2q + V3_4m + V3_4q
255025883	4	V3_1s + V3_2q + V3_3q + V3_4m
255261221	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
255274492	3	V3_2q + V3_3q + V3_4m
255430410	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
255533604	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
255750343	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
255800146	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
255902393	3	V3_1s + V3_2q + V3_4q
255999097	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
256037961	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
256177842	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
256223999	4	V3_1s + V3_2q + V3_3q + V3_4m
256364529	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
256410549	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
256493829	3	V3_1s + V3_3q + V3_4q
256558227	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
256656092	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
256810773	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
256995205	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
257249937	3	V3_3q + V3_4m + V3_4q
257455010	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
257555651	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
257627778	3	V3_3q + V3_4m + V3_4q
257651911	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
257881339	4	V3_1s + V3_2q + V3_3q + V3_4q
257943696	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
258226575	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
258239120	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
258662973	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
258781846	3	V3_1s + V3_4m + V3_4q
258847482	4	V3_1s + V3_2q + V3_4m + V3_4q
259273376	4	V3_1s + V3_2q + V3_4m + V3_4q
259375545	4	V3_1s + V3_2q + V3_3q + V3_4m
259439721	4	V3_1s + V3_2q + V3_3q + V3_4m
259440669	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
259479175	3	V3_2q + V3_3q + V3_4q
259829953	3	V3_1s + V3_2q + V3_4q
260105325	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
260144343	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
260491765	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
260536906	3	V3_1s + V3_2q + V3_4q
260754302	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
260767727	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
260899572	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
261025669	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
261178232	4	V3_1s + V3_2q + V3_3q + V3_4q
261203390	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
261217463	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
261265961	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
261316063	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
261357045	4	V3_1s + V3_2q + V3_4m + V3_4q
261390957	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
261469719	4	V3_1s + V3_2q + V3_3q + V3_4m
261753844	4	V3_1s + V3_2q + V3_3q + V3_4m
261776884	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
261925219	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
262012154	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
262037167	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
262052043	4	V3_1s + V3_2q + V3_4m + V3_4q
262097910	3	V3_1s + V3_2q + V3_4m
262129123	4	V3_1s + V3_2q + V3_4m + V3_4q
262130660	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
262470353	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
262589876	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
262681182	4	V3_1s + V3_2q + V3_3q + V3_4m
262780653	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
262784590	3	V3_1s + V3_2q + V3_4q
262854607	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
262955094	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
263130415	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
263386172	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
263459238	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
263531441	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
263546608	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
263722731	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
263732065	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
263907890	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
263951647	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
263984388	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
264055712	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
264078607	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
264123245	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
264184065	4	V3_1s + V3_2q + V3_4m + V3_4q
264189385	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
264229282	4	V3_2q + V3_3q + V3_4m + V3_4q
264409411	4	V3_1s + V3_2q + V3_4m + V3_4q
264575244	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
264606167	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
264645330	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
264645398	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
264730505	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
264889054	3	V3_1s + V3_2q + V3_4m
264894955	3	V3_1s + V3_2q + V3_4q
265207885	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
265216860	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
265410985	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
265431557	3	V3_2q + V3_3q + V3_4m
265494196	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
265670320	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
265675273	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
265732455	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
265748493	4	V3_2q + V3_3q + V3_4m + V3_4q
266101534	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
266262926	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
266308648	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
266417675	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
266616403	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
266627633	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
266823218	3	V3_3q + V3_4m + V3_4q
267087361	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
267163714	4	V3_1s + V3_2q + V3_3q + V3_4m
267214475	4	V3_1s + V3_2q + V3_3q + V3_4m
267228036	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
267347344	3	V3_1s + V3_2q + V3_4m
267388113	4	V3_1s + V3_2q + V3_4m + V3_4q
267431649	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
267434279	4	V3_2q + V3_3q + V3_4m + V3_4q
267537832	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
267665894	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
267742982	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
267874536	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
267961104	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
268194759	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
268225024	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
268346083	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
268364025	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
268683010	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
268780799	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
268787588	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
268902883	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
268914112	3	V3_1s + V3_2q + V3_4q
268985803	3	V3_3q + V3_4m + V3_4q
268989518	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
269045086	3	V3_2q + V3_3q + V3_4m
269047716	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
269164250	4	V3_1s + V3_2q + V3_4m + V3_4q
269232516	4	V3_2q + V3_3q + V3_4m + V3_4q
269251039	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
269277000	3	V3_1s + V3_3q + V3_4m
269638717	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
269653371	3	V3_1s + V3_2q + V3_4q
269795874	4	V3_1s + V3_2q + V3_3q + V3_4m
269961562	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
270023919	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
270070734	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
270141767	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
270160657	3	V3_1s + V3_4m + V3_4q
270253348	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
270306072	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
270323356	3	V3_3q + V3_4m + V3_4q
270356243	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
270548626	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
270718404	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
270762085	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
270901232	4	V3_1s + V3_2q + V3_3q + V3_4m
271096894	3	V3_2q + V3_3q + V3_4m
271277603	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
271320490	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
271381677	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
271402531	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
271439431	3	V3_1s + V3_2q + V3_4q
271502292	3	V3_1s + V3_2q + V3_4m
271539491	3	V3_1s + V3_2q + V3_4q
271550789	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
271707511	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
271710722	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
271928118	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
271960056	3	V3_3q + V3_4m + V3_4q
272268101	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
272369400	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
272392952	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
272463328	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
272464934	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
272552517	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
272899137	4	V3_1s + V3_2q + V3_3q + V3_4m
273027566	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
273044705	4	V3_1s + V3_2q + V3_3q + V3_4q
273059504	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
273108223	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
273172980	4	V3_1s + V3_2q + V3_4m + V3_4q
273185525	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
273589250	4	V3_1s + V3_2q + V3_3q + V3_4m
273599677	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
273683323	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
273881027	4	V3_1s + V3_2q + V3_3q + V3_4m
273950532	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
274008653	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
274055613	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
274084785	3	V3_2q + V3_3q + V3_4q
274193154	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
274302181	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
274365921	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
274386340	3	V3_1s + V3_2q + V3_4q
274432070	4	V3_1s + V3_2q + V3_4m + V3_4q
274440311	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
274445554	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
274479397	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
274841405	4	V3_1s + V3_2q + V3_3q + V3_4m
274999877	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
275039040	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
275046043	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
275121304	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
275172346	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
275173080	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
275207939	4	V3_1s + V3_2q + V3_4m + V3_4q
275344020	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
275349784	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
275384344	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
275424310	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
275572355	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
275585336	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
275667667	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
275736583	4	V3_1s + V3_2q + V3_4m + V3_4q
275755473	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
275811340	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
276120401	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
276194859	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
276224834	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
276386072	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
276688353	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
277065903	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
277266083	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
277271771	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
277711960	4	V3_1s + V3_2q + V3_3q + V3_4q
277912951	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
277934027	3	V3_1s + V3_2q + V3_4q
277942123	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
278145369	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
278188904	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
278264532	3	V3_1s + V3_2q + V3_4m
278269852	3	V3_1s + V3_3q + V3_4m
278363781	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
278370561	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
278463551	3	V3_1s + V3_2q + V3_4m
278550767	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
278731408	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
278750366	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
278873543	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
278876464	3	V3_1s + V3_2q + V3_4q
279209155	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
279667431	3	V3_1s + V3_3q + V3_4m
279740719	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
279850258	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
279855578	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
280029507	4	V3_1s + V3_2q + V3_3q + V3_4m
280104990	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
280117680	3	V3_1s + V3_2q + V3_4q
280125340	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
280157936	3	V3_1s + V3_3q + V3_4m
280482173	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
280511635	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
280637793	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
280711379	3	V3_1s + V3_2q + V3_4q
280722686	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
280750466	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
280996009	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
281090014	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
281221868	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
281356129	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
281443935	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
281538957	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
281767949	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
281788949	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
281932399	4	V3_1s + V3_2q + V3_3q + V3_4m
282081605	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
282168027	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
282288933	4	V3_1s + V3_2q + V3_3q + V3_4m
282341077	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
282354569	4	V3_1s + V3_2q + V3_3q + V3_4m
282745971	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
282764929	4	V3_1s + V3_2q + V3_3q + V3_4m
282793298	3	V3_3q + V3_4m + V3_4q
282838081	3	V3_1s + V3_2q + V3_4m
282994802	3	V3_2q + V3_4m + V3_4q
283086980	4	V3_2q + V3_3q + V3_4m + V3_4q
283157057	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
283272360	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
283358270	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
283375478	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
283451319	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
283469261	3	V3_3q + V3_4m + V3_4q
283644727	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
283698399	3	V3_1s + V3_2q + V3_4q
283833019	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
284178042	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
284241629	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
284282619	4	V3_1s + V3_2q + V3_4m + V3_4q
284337462	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
284537351	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
284752049	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
284768163	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
285040256	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
285044560	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
285266619	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
285344219	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
285391034	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
285535356	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
286028636	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
286084281	3	V3_1s + V3_2q + V3_4q
286112138	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
286307655	3	V3_1s + V3_2q + V3_4m
286311302	4	V3_1s + V3_2q + V3_3q + V3_4q
286346964	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
286362062	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
286716051	3	V3_1s + V3_2q + V3_4q
286758203	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
286978443	3	V3_2q + V3_4m + V3_4q
287101031	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
287220262	4	V3_2q + V3_3q + V3_4m + V3_4q
287220484	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
287532176	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
287756566	3	V3_1s + V3_2q + V3_3q
287783842	3	V3_3q + V3_4m + V3_4q
287832706	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
287958138	4	V3_1s + V3_2q + V3_3q + V3_4m
288034714	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
288035440	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
288149573	3	V3_1s + V3_3q + V3_4q
288292802	3	V3_1s + V3_2q + V3_4m
288307533	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
288358438	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
288459660	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
288481103	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
288612657	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
288648319	4	V3_1s + V3_2q + V3_4m + V3_4q
288720668	4	V3_2q + V3_3q + V3_4m + V3_4q
288793298	3	V3_1s + V3_2q + V3_4m
288857116	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
288945280	4	V3_1s + V3_2q + V3_4m + V3_4q
289214307	4	V3_1s + V3_2q + V3_3q + V3_4q
289216792	3	V3_1s + V3_3q + V3_4q
289225247	3	V3_1s + V3_3q + V3_4m
289239978	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
289258210	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
289273821	4	V3_1s + V3_2q + V3_3q + V3_4m
289622848	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
289732823	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
289739894	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
289867221	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
290165352	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
290178409	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
290291074	4	V3_1s + V3_2q + V3_3q + V3_4m
290396309	4	V3_1s + V3_2q + V3_3q + V3_4q
290445541	3	V3_1s + V3_3q + V3_4m
290517368	4	V3_1s + V3_2q + V3_3q + V3_4m
290672194	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
290698744	3	V3_1s + V3_2q + V3_4q
290772467	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
290905124	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
290923211	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
291288139	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
291308558	3	V3_1s + V3_2q + V3_4q
291449959	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
291540975	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
291861634	4	V3_2q + V3_3q + V3_4m + V3_4q
291962855	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
292166758	4	V3_2q + V3_3q + V3_4m + V3_4q
292182002	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
292332668	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
292540440	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
292577707	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
292601917	4	V3_2q + V3_3q + V3_4m + V3_4q
292659023	3	V3_1s + V3_3q + V3_4q
292664198	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
292677759	4	V3_1s + V3_2q + V3_4m + V3_4q
292688041	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
292721303	4	V3_2q + V3_3q + V3_4m + V3_4q
293595917	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
293920435	5	V3_1s + V3_2q + V3_3q + V3_4m + V3_4q
294027566	4	V3_2q + V3_3q + V3_4m + V3_4q
294153655	4	V3_1s + V3_2q + V3_4m + V3_4q
